Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales
A,1/6/2018,392,422,408,349895.0107,73580,12072,682,59417
A,1/13/2018,787,904,110,506270.2176,11804,9499,853,56806
A,1/20/2018,81,970,742,430042.1538,52232,17048,759,48715
A,1/27/2018,25,575,65,417745.6658,78640,10207,942,72047
A,2/3/2018,565,284,295,408505.8012,40561,5834,658,56235
A,2/10/2018,256,330,683,434729.755,36750,8469,691,56347
A,2/17/2018,886,56,664,634432.9117,112489,8331,685,81604
A,2/24/2018,336,99,470,555036.3088,218,6319,569,80492
A,3/3/2018,305,209,501,423690.0837,13065,7898,772,61804
A,3/10/2018,955,283,609,471730.039,84449,8428,833,64944
A,3/17/2018,650,466,290,464972.6858,11438,6900,978,62945
A,3/24/2018,962,614,605,424832.1916,58830,14151,196,65018
A,3/31/2018,674,831,762,427351.2598,29536,7840,571,68472
A,4/7/2018,604,22,130736,418862.0356,91874,6575,737,53473
A,4/14/2018,342,432,208099,508059.5563,61025,7733,550,59351
A,4/21/2018,833,10,209285,412036.2647,38548,8358,792,72647
A,4/28/2018,868,750,232531,473344.0824,27777,8208,905,62975
A,5/5/2018,20,776,258508,399782.5359,51402,7789,741,73440
A,5/12/2018,704,391,350509,347974.4459,43773,10803,698,73081
A,5/19/2018,554,21,349590,378663.2045,5457,7350,990,63422
A,5/26/2018,903,124,339701,457524.6496,18636,9041,333,65930
A,6/2/2018,926,139,272962,334461.8929,58676,10338,611,67830
A,6/9/2018,273,84,260513,376282.2511,95075,9525,481,72316
A,6/16/2018,929,358,239193,338646.3504,49503,9606,805,66903
A,6/23/2018,261,564,257999,394913.4299,33836,9592,913,68825
A,6/30/2018,160,423,300068,372145.5745,41871,12818,413,90421
A,7/7/2018,489,927,398603,323816.9932,38020,9479,574,47768
A,7/14/2018,196,900,465878,463140.8772,157256,9427,468,110359
A,7/21/2018,843,976,375324,351878.9496,120756,8103,121,111259
A,7/28/2018,417,761,365439,367606.8031,87487,8569,470,69277
A,8/4/2018,971,593,338155,286526.9413,99863,9187,582,73348
A,8/11/2018,640,296,351992,357211.0809,107090,8296,550,59450
A,8/18/2018,138,245,505429,414114.3816,152851,10638,712,85245
A,8/25/2018,58,459,514951,419266.8725,295046,10829,438,96340
A,9/1/2018,766,65,560749,331608.5452,236072,10673,511,87248
A,9/8/2018,947,431,525501,347630.9396,283426,8153,706,72504
A,9/15/2018,403,261,598424,338349.1595,199895,7887,128,102759
A,9/22/2018,111,748,571337,327584.378,236126,6725,903,94933
A,9/29/2018,441,759,679729,289529.4984,219372,7695,145,99169
A,10/6/2018,692,540,652498,265198.8945,95291,6387,804,116818
A,10/13/2018,121,1452,561755,263425.5333,122823,6428,1220,105914
A,10/20/2018,305,2183,761769,259054.8016,106285,6012,2030,128191
A,10/27/2018,937,1378,689753,274521.3176,114960,4735,1821,112396
